joint_1,joint_2,joint_3,joint_4,joint_5,joint_6,tcp_rx,tcp_ry,tcp_rz,tcp_x,tcp_y,tcp_z,timestamp
-6.597,-89.279,105.379,-127.566,-88.898,67.285,-172.361,20.15,17.686,-730.452,-77.632,660.531,5.344
-6.598,-90.502,104.79,-127.327,-88.898,67.285,-171.665,21.582,17.933,-721.94,-78.605,682.433,5.445
-6.598,-91.749,104.182,-126.222,-88.899,67.285,-171.328,22.263,18.058,-711.841,-79.769,702.516,5.546
-6.599,-92.899,103.806,-123.723,-88.901,67.285,-171.761,21.378,17.896,-700.151,-81.109,714.739,5.646
-6.599,-93.898,103.664,-119.932,-88.902,67.285,-172.922,18.963,17.495,-687.513,-82.57,718.8,5.747
-6.6,-94.792,103.653,-115.651,-88.902,67.285,-174.354,15.876,17.065,-674.415,-84.069,718.76,5.848
-6.6,-95.606,103.625,-111.627,-88.903,67.284,-175.663,12.957,16.74,-661.836,-85.531,718.719,5.949
-6.6,-96.459,103.492,-108.049,-88.908,67.285,-176.703,10.573,16.526,-649.295,-86.968,721.56,6.049
-6.6,-97.341,103.052,-104.469,-88.908,67.285,-177.6,8.496,16.376,-636.835,-88.405,728.567,6.15
-6.6,-98.22,102.28,-100.71,-88.905,67.285,-178.431,6.555,16.268,-624.418,-89.847,739.256,6.251
-6.6,-98.966,101.422,-97.107,-88.903,67.285,-179.212,4.714,16.192,-613.129,-91.164,749.952,6.351
-6.599,-99.54,100.635,-93.518,-88.902,67.285,179.923,2.658,16.137,-602.866,-92.36,758.052,6.452
-6.6,-99.992,100.03,-89.804,-88.905,67.285,178.899,0.207,16.11,-592.789,-93.512,762.546,6.554
-6.599,-100.224,99.579,-87.17,-88.904,67.285,178.146,-1.592,16.12,-586.308,-94.269,765.239,6.655
-6.599,-100.461,98.997,-85.624,-88.903,67.285,177.863,-2.263,16.13,-581.927,-94.783,771.7,6.756
-6.599,-100.556,98.631,-85.416,-88.902,67.285,177.96,-2.029,16.127,-581.145,-94.873,776.683,6.857
-6.599,-100.537,98.625,-85.416,-88.9,67.285,177.953,-2.041,16.127,-581.355,-94.857,776.559,6.957
-6.599,-100.513,98.634,-85.417,-88.9,67.284,177.941,-2.07,16.128,-581.586,-94.825,776.22,7.058
-6.599,-100.467,98.664,-85.416,-88.899,67.285,177.911,-2.14,16.129,-582.008,-94.78,775.407,7.159
-6.599,-100.394,98.711,-85.416,-88.899,67.285,177.864,-2.251,16.131,-582.692,-94.704,774.112,7.26
