joint_1,joint_2,joint_3,joint_4,joint_5,joint_6,tcp_rx,tcp_ry,tcp_rz,tcp_x,tcp_y,tcp_z,timestamp
-6.598,-88.278,139.973,-111.675,-88.768,67.284,166.342,-27.02,19.084,-445.642,-110.806,271.047,0.0
-6.598,-88.277,139.973,-111.675,-88.768,67.284,166.341,-27.02,19.084,-445.642,-110.804,271.041,0.101
-6.598,-88.278,139.973,-111.675,-88.768,67.284,166.341,-27.02,19.084,-445.643,-110.807,271.044,0.202
-6.598,-88.278,139.973,-111.675,-88.768,67.284,166.341,-27.02,19.084,-445.643,-110.805,271.044,0.302
-6.598,-88.278,139.973,-111.675,-88.768,67.284,166.341,-27.02,19.084,-445.643,-110.806,271.044,0.403
-6.598,-88.277,139.973,-111.675,-88.768,67.284,166.341,-27.02,19.084,-445.643,-110.806,271.042,0.505
-6.598,-88.277,139.973,-111.675,-88.768,67.284,166.341,-27.02,19.084,-445.644,-110.805,271.042,0.606
-6.598,-88.277,139.973,-111.675,-88.768,67.284,166.341,-27.02,19.084,-445.644,-110.805,271.042,0.707
-6.598,-88.277,139.973,-111.675,-88.768,67.284,166.341,-27.02,19.084,-445.641,-110.807,271.041,0.807
-6.598,-88.278,139.973,-111.675,-88.768,67.284,166.341,-27.02,19.084,-445.643,-110.806,271.044,0.908
-6.598,-88.277,139.973,-111.675,-88.768,67.284,166.341,-27.02,19.084,-445.642,-110.805,271.041,1.009
-6.598,-88.277,139.973,-111.675,-88.768,67.284,166.341,-27.02,19.084,-445.643,-110.805,271.042,1.11
-6.598,-88.278,139.973,-111.675,-88.768,67.284,166.341,-27.02,19.084,-445.641,-110.807,271.042,1.21
-6.598,-88.278,139.973,-111.675,-88.768,67.284,166.341,-27.02,19.084,-445.643,-110.805,271.044,1.311
-6.598,-88.277,139.973,-111.675,-88.768,67.284,166.341,-27.02,19.084,-445.639,-110.807,271.039,1.412
-6.598,-88.277,139.973,-111.675,-88.768,67.284,166.341,-27.02,19.084,-445.641,-110.807,271.041,1.513
-6.598,-88.277,139.973,-111.675,-88.768,67.284,166.341,-27.02,19.084,-445.641,-110.806,271.041,1.613
-6.598,-88.278,139.972,-111.676,-88.769,67.284,166.342,-27.02,19.084,-445.646,-110.805,271.046,1.715
-6.598,-88.278,139.968,-111.68,-88.767,67.284,166.345,-27.011,19.081,-445.707,-110.799,271.087,1.816
-6.598,-88.28,139.912,-111.894,-88.764,67.284,166.475,-26.765,19.021,-446.843,-110.673,271.669,1.916
-6.599,-88.281,139.433,-112.445,-88.763,67.284,166.968,-25.834,18.802,-453.285,-109.929,275.589,2.017
-6.599,-88.282,138.274,-112.823,-88.765,67.284,167.695,-24.443,18.494,-466.301,-108.419,284.498,2.118
-6.599,-88.284,136.739,-112.821,-88.763,67.284,168.401,-23.052,18.209,-481.976,-106.609,296.236,2.219
-6.598,-88.286,135.001,-112.817,-88.765,67.284,169.184,-21.474,17.913,-499.34,-104.6,310.034,2.32
-6.598,-88.292,133.178,-112.812,-88.765,67.284,169.989,-19.813,17.629,-517.076,-102.547,325.095,2.421
-6.598,-88.297,131.365,-112.808,-88.765,67.284,170.773,-18.157,17.375,-534.244,-100.563,340.633,2.521
-6.598,-88.3,129.577,-112.809,-88.765,67.284,171.532,-16.518,17.148,-550.704,-98.659,356.472,2.622
-6.598,-88.299,127.858,-112.808,-88.766,67.284,172.248,-14.945,16.954,-566.07,-96.881,372.155,2.723
-6.598,-88.301,126.182,-112.809,-88.766,67.284,172.937,-13.405,16.786,-580.585,-95.202,387.899,2.825
-6.598,-88.3,124.772,-112.809,-88.764,67.284,173.508,-12.11,16.659,-592.439,-93.836,401.452,2.925
-6.598,-88.302,123.373,-112.81,-88.764,67.284,174.071,-10.821,16.548,-603.876,-92.516,415.213,3.026
-6.597,-88.302,121.956,-112.811,-88.764,67.284,174.636,-9.518,16.448,-615.109,-91.219,429.409,3.127
-6.597,-88.301,120.503,-112.815,-88.761,67.284,175.21,-8.177,16.36,-626.278,-89.936,444.255,3.228
-6.597,-88.301,118.968,-112.813,-88.762,67.284,175.812,-6.765,16.282,-637.652,-88.623,460.24,3.329
-6.597,-88.301,117.458,-112.812,-88.763,67.284,176.403,-5.374,16.219,-648.419,-87.373,476.263,3.429
-6.597,-88.304,115.966,-112.813,-88.761,67.284,176.982,-3.994,16.172,-658.636,-86.197,492.407,3.53
