Timestamp,T1,T2,T3,T4,T5,T6,1JS,2JS,3JS,4JS,5JS,6JS,Sx,Sy,Sz,Ax,Ay,Az,Collision_Detected
2025-03-27 17:52:30,36.0,-233.0,-284.0,-8.64,-2.88,4.16,7.02689897895965,-0.0217551051978404,0.021755105198018,-0.0217551051974851,-0.0217551051974851,0.0,163.8813018798828,3.99169921875,0.286865234375,0.0213623046875,-0.0100612640380859,7.00531005859375,False
2025-03-27 17:52:30,32.0,-236.0,-283.0,-8.64,-2.56,4.16,6.896368347771897,-0.0217551051978404,0.0,-0.0217551051974851,0.0217551051974851,0.0,160.86387634277344,5.96923828125,0.5615234375,0.04425048828125,0.0040531158447265,6.91375732421875,False
2025-03-27 17:52:30,31.0,-235.0,-283.0,-8.64,-2.88,4.16,6.98338876856468,0.0,0.021755105198018,-0.0217551051974851,-0.0217551051974851,-0.021755105198018,162.7056121826172,7.7392578125,-0.2197265625,-0.00152587890625,-0.028228759765625,6.97021484375,False
2025-03-27 17:52:30,35.0,-233.0,-282.0,-8.64,-2.56,4.16,6.961633663365774,0.0,0.0,0.0,0.0217551051974851,0.0,162.17498779296875,9.77783203125,0.0,0.000762939453125,0.0080585479736328,6.982421875,False
2025-03-27 17:52:30,35.0,-234.0,-281.0,-8.64,-2.88,4.48,6.722327506187753,0.0,-0.043510210396036,0.0,0.0,0.0,156.44378662109375,11.46240234375,0.537109375,0.043487548828125,-0.0040054321289062,6.71844482421875,False
2025-03-27 17:52:30,22.0,-240.0,-278.0,-8.64,-2.56,4.48,6.6570621905938765,-0.0217551051981956,-0.021755105198018,0.0,0.0,0.0,154.78668212890625,13.3056640625,0.775146484375,0.043487548828125,-0.0040054321289062,6.65435791015625,False
2025-03-27 17:52:30,24.0,-230.0,-271.0,-8.64,-2.88,4.48,6.221960086632805,0.0,0.021755105198018,0.0,0.0,0.021755105198018,144.51141357421875,13.720703125,-0.2685546875,-0.020599365234375,0.0221729278564453,6.2164306640625,False
2025-03-27 17:52:30,19.0,-230.0,-267.0,-8.64,-2.88,4.48,5.76510287747567,0.0,0.0,0.0,0.0,0.0,133.76617431640625,14.1357421875,0.0,0.0,0.0,5.76629638671875,False
2025-03-27 17:52:30,32.0,-231.0,-263.0,-8.64,-2.56,4.48,5.047184405941607,0.0,0.0,0.0,0.0,-0.021755105198018,116.9921875,13.43994140625,0.0,-0.000762939453125,-0.0202178955078125,5.05523681640625,False
2025-03-27 17:52:31,40.0,-232.0,-259.0,-8.64,-2.56,4.48,3.9594291460403497,0.0,0.0,0.0,0.0,0.0,91.69158935546876,11.279296875,0.0,0.0,0.0,3.95965576171875,False
2025-03-27 17:52:31,22.0,-227.0,-255.0,-8.64,-2.56,4.8,3.3067759900987426,-0.043510210396036,0.0,0.0217551051974851,-0.0217551051974851,0.0,76.46942138671875,10.302734375,0.9521484375,0.0213623046875,-0.0100612640380859,3.28369140625,False
2025-03-27 17:52:31,33.0,-226.0,-244.0,-8.64,-2.24,4.48,2.5453473081682887,-0.0217551051981956,0.0652653155940541,0.0217551051974851,0.0,0.0,58.85009765625,7.94677734375,-0.360107421875,-0.064849853515625,0.0060081481933593,2.55126953125,False
2025-03-27 17:52:31,13.0,-221.0,-233.0,-8.64,-1.92,4.48,2.088490099009732,0.0,0.1740408415841443,0.0,0.0,0.0,48.26812744140625,6.16455078125,-2.166748046875,-0.1739501953125,0.016021728515625,2.10113525390625,False
2025-03-27 17:52:31,13.0,-215.0,-219.0,-8.64,-2.56,4.48,1.5228573638623288,-0.0217551051978404,0.4133469987625204,0.0,0.0217551051974851,-0.021755105198018,35.2386474609375,3.8330078125,-4.632568359375,-0.390625,0.0239372253417968,1.57928466796875,False
2025-03-27 17:52:31,25.0,-197.0,-212.0,-8.64,-2.24,4.48,0.8702042079207217,0.1305306311884635,0.500367419554415,0.0217551051974851,0.0,0.0,20.15838623046875,-0.0244140625,-9.3017578125,-0.652313232421875,0.0602245330810546,0.9185791015625,False
2025-03-27 17:52:31,21.0,-196.0,-201.0,-8.32,-2.56,4.48,0.3263265779708035,0.3480816831682887,0.674408261138737,0.0,0.0,0.0,7.6568603515625,-4.39453125,-16.448974609375,-1.02081298828125,0.0944137573242187,0.40130615234375,False
2025-03-27 17:52:31,16.0,-190.0,-196.0,-8.64,-2.56,4.48,0.0435102103949702,0.5438776299502734,1.0007348391091853,-0.0217551051974851,-0.0217551051974851,-0.021755105198018,1.1474609375,-8.1787109375,-25.006103515625,-1.522064208984375,0.1125335693359375,0.1434326171875,False
2025-03-27 17:52:31,12.0,-189.0,-206.0,-8.96,-2.24,4.48,0.0,0.8266939975246856,1.4575920482673863,0.0,-0.0217551051974851,-0.021755105198018,0.23193359375,-12.39013671875,-37.335205078125,-2.281951904296875,0.1835346221923828,0.15411376953125,False
2025-03-27 17:52:31,-9.0,-193.0,-218.0,-8.64,-2.56,4.8,-0.0652653155938765,1.044245049504866,2.240775835396036,0.0217551051974851,-0.0217551051974851,0.021755105198018,-1.18560791015625,-17.00439453125,-52.25830078125,-3.301239013671875,0.3196239471435547,0.14495849609375,False
2025-03-27 17:52:32,-13.0,-189.0,-201.0,-8.96,-2.24,4.48,-0.1522857363852381,1.0877552599009022,2.8934289913365774,0.0217551051974851,0.0,0.0,-3.1219482421875,-19.482421875,-61.492919921875,-3.995513916015625,0.3744125366210937,0.13580322265625,False
